Protein IDs,Fasta headers,LFQ intensity 1,LFQ intensity 2,LFQ intensity 20,LFQ intensity 22,LFQ intensity 25,LFQ intensity 28,LFQ intensity 29,LFQ intensity 31,LFQ intensity 33,LFQ intensity 36,LFQ intensity 37,LFQ intensity 39,LFQ intensity 4,LFQ intensity 8,LFQ intensity 9
G3V9Q3;A0A0G2JTG7;Q8VHV7-3;Q8VHV7-2;Q8VHV7;Q6AY09;Q499R8,tr|G3V9Q3|G3V9Q3_RAT Heterogeneous nuclear ribonucleoprotein H OS=Rattus norvegicus OX=10116 GN=Hnrnph1 PE=1 SV=2;tr|A0A0G2JTG7|A0A0G2JTG7_RAT Heterogeneous nuclear ribonucleoprotein H OS=Rattus norvegicus OX=10116 GN=Hnrnph1 PE=1 SV=1;sp|Q8VHV7-3|HNRH1_RA,0,0,0,0,0,0,0,0,0,23859,0,0,51872,0,29524
A0A0G2JZZ7;A0A4X0W8E9;A0A0G2JTR4,tr|A0A0G2JZZ7|A0A0G2JZZ7_RAT Active breakpoint cluster region-related protein OS=Rattus norvegicus OX=10116 GN=Abr PE=1 SV=1;tr|A0A4X0W8E9|A0A4X0W8E9_RAT Active breakpoint cluster region-related protein OS=Rattus norvegicus OX=10116 GN=Abr PE=1 SV=1;sp|A0A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D3ZQ89;A0A0G2JU09,"tr|D3ZQ89|D3ZQ89_RAT E1A binding protein p400, isoform CRA_a OS=Rattus norvegicus OX=10116 GN=Ep400 PE=1 SV=1;tr|A0A0G2JU09|A0A0G2JU09_RAT E1A-binding protein p400 OS=Rattus norvegicus OX=10116 GN=Ep400 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JU91;D3ZXN9,tr|A0A0G2JU91|A0A0G2JU91_RAT Nuclear receptor co-repressor 2 OS=Rattus norvegicus OX=10116 GN=Ncor2 PE=1 SV=1;tr|D3ZXN9|D3ZXN9_RAT Nuclear receptor co-repressor 2 OS=Rattus norvegicus OX=10116 GN=Ncor2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3V7X3;A0A0G2JUA7;B2RZ33,tr|G3V7X3|G3V7X3_RAT NCK adaptor protein 1 OS=Rattus norvegicus OX=10116 GN=Nck1 PE=1 SV=3;tr|A0A0G2JUA7|A0A0G2JUA7_RAT NCK adaptor protein 1 OS=Rattus norvegicus OX=10116 GN=Nck1 PE=1 SV=1;tr|B2RZ33|B2RZ33_RAT Cytoplasmic protein OS=Rattus norvegicus OX=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JUF8;A0A0G2JWP8;P41516,tr|A0A0G2JUF8|A0A0G2JUF8_RAT DNA topoisomerase 2 OS=Rattus norvegicus OX=10116 GN=Top2a PE=1 SV=1;tr|A0A0G2JWP8|A0A0G2JWP8_RAT DNA topoisomerase 2 OS=Rattus norvegicus OX=10116 GN=Top2a PE=1 SV=1;sp|P41516|TOP2A_RAT DNA topoisomerase 2-alpha OS=Rattus norv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JUM6;Q569C3,tr|A0A0G2JUM6|A0A0G2JUM6_RAT Ubiquitin carboxyl-terminal hydrolase OS=Rattus norvegicus OX=10116 GN=Usp1 PE=3 SV=1;sp|Q569C3|UBP1_RAT Ubiquitin carboxyl-terminal hydrolase 1 OS=Rattus norvegicus OX=10116 GN=Usp1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K0A8;A0A0G2JVM2,tr|A0A0G2K0A8|A0A0G2K0A8_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 GN=Mia3 PE=1 SV=1;tr|A0A0G2JVM2|A0A0G2JVM2_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 GN=Mia3 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JVS2;Q6AYD3;Q6AYD3-2,tr|A0A0G2JVS2|A0A0G2JVS2_RAT Proliferation-associated protein 2G4 OS=Rattus norvegicus OX=10116 GN=Pa2g4 PE=1 SV=1;sp|Q6AYD3|PA2G4_RAT Proliferation-associated protein 2G4 OS=Rattus norvegicus OX=10116 GN=Pa2g4 PE=1 SV=1;sp|Q6AYD3-2|PA2G4_RAT Isoform 2 of ,0,0,164760,49224,0,28649,87645,53064,50050,102230,0,93219,44259,0,153070
A0A0G2JVW5;Q5RJQ1;E9PSZ5,tr|A0A0G2JVW5|A0A0G2JVW5_RAT HECT-type E3 ubiquitin transferase OS=Rattus norvegicus OX=10116 GN=Huwe1 PE=1 SV=1;tr|Q5RJQ1|Q5RJQ1_RAT LOC501546 protein (Fragment) OS=Rattus norvegicus OX=10116 GN=LOC501546 PE=2 SV=1;tr|E9PSZ5|E9PSZ5_RAT E3 ubiquitin-protei,0,0,12718,0,0,0,37214,0,0,0,0,0,0,5175.1,134480
O55147;G3V7L1;A0A0G2JW60,tr|O55147|O55147_RAT Rattus norvegicus utrophin OS=Rattus norvegicus OX=10116 GN=Utrn PE=1 SV=1;tr|G3V7L1|G3V7L1_RAT Utrophin OS=Rattus norvegicus OX=10116 GN=Utrn PE=1 SV=3;tr|A0A0G2JW60|A0A0G2JW60_RAT Utrophin OS=Rattus norvegicus OX=10116 GN=Utrn PE=1 S,0,0,0,0,0,0,0,0,0,0,0,0,23614,0,3431.4
A0A0G2JWF4;F1LR71;B1WC71,"tr|A0A0G2JWF4|A0A0G2JWF4_RAT ASPSCR1 tether for SLC2A4, UBX domain-containing OS=Rattus norvegicus OX=10116 GN=Aspscr1 PE=1 SV=1;tr|F1LR71|F1LR71_RAT ASPSCR1 tether for SLC2A4, UBX domain-containing OS=Rattus norvegicus OX=10116 GN=Aspscr1 PE=1 SV=2;tr|B1W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JXN5;F1LQ90;A0A0G2JWU7;Q62655-2;Q62655,tr|A0A0G2JXN5|A0A0G2JXN5_RAT Transcription factor 4 OS=Rattus norvegicus OX=10116 GN=Tcf4 PE=1 SV=1;tr|F1LQ90|F1LQ90_RAT Transcription factor 4 OS=Rattus norvegicus OX=10116 GN=Tcf4 PE=1 SV=3;tr|A0A0G2JWU7|A0A0G2JWU7_RAT Transcription factor 4 OS=Rattus no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A140TAI3;A0A0G2K7B3;A0A0G2JXW4;G3V9R8,"tr|A0A140TAI3|A0A140TAI3_RAT Heterogeneous nuclear ribonucleoprotein C, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Hnrnpc PE=1 SV=1;tr|A0A0G2K7B3|A0A0G2K7B3_RAT Heterogeneous nuclear ribonucleoproteins C1/C2-like OS=Rattus norvegicus OX=10116 GN=LOC100",13934,0,43004,0,0,11484,11262,19184,13970,0,3172.7,0,26695,0,403510
Q9JLT3;Q498U6;A0A0G2JY18,tr|Q9JLT3|Q9JLT3_RAT Caspase-activated deoxyribonuclease inhibitor short form OS=Rattus norvegicus OX=10116 GN=ICAD-S PE=2 SV=1;tr|Q498U6|Q498U6_RAT DNA fragmentation factor subunit alpha OS=Rattus norvegicus OX=10116 GN=Dffa PE=1 SV=1;tr|A0A0G2JY18|A0A0G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JY25,tr|A0A0G2JY25|A0A0G2JY25_RAT Uncharacterized protein OS=Rattus norvegicus OX=10116 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JYH1;O08561,tr|A0A0G2JYH1|A0A0G2JYH1_RAT Phosphatidylinositol 4-kinase beta OS=Rattus norvegicus OX=10116 GN=Pi4kb PE=1 SV=1;sp|O08561|PI4KB_RAT Phosphatidylinositol 4-kinase beta OS=Rattus norvegicus OX=10116 GN=Pi4kb PE=1 SV=1,0,0,20293,15154,0,0,23038,0,0,0,0,17471,23837,0,10221
Q3KR71;A0A1W2Q681;A0A0G2JZ87;D3ZTQ1,"tr|Q3KR71|Q3KR71_RAT Splicing factor, arginine/serine-rich 8 OS=Rattus norvegicus OX=10116 GN=Sfswap PE=1 SV=1;tr|A0A1W2Q681|A0A1W2Q681_RAT Splicing factor, suppressor of white-apricot homolog OS=Rattus norvegicus OX=10116 GN=Sfswap PE=1 SV=1;tr|A0A0G2JZ87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JZ88,tr|A0A0G2JZ88|A0A0G2JZ88_RAT Similar to hypothetical protein A530094D01 OS=Rattus norvegicus OX=10116 GN=RGD1306556 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1M7H7;M0R8T1;A0A0G2JZE4;Q4L1J4-2;Q4L1J4,"tr|F1M7H7|F1M7H7_RAT Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Magi1 PE=1 SV=3;tr|M0R8T1|M0R8T1_RAT Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 OS=Rattus n",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K0E2;Q5RKH3,tr|A0A0G2K0E2|A0A0G2K0E2_RAT Similar to RIKEN cDNA 1110059G10 OS=Rattus norvegicus OX=10116 GN=RGD1311745 PE=1 SV=1;sp|Q5RKH3|K1143_RAT Uncharacterized protein KIAA1143 homolog OS=Rattus norvegicus OX=10116 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K4A0;A0A0G2K1W1,tr|A0A0G2K4A0|A0A0G2K4A0_RAT RAB11 family-interacting protein 5 OS=Rattus norvegicus OX=10116 GN=Rab11fip5 PE=1 SV=1;tr|A0A0G2K1W1|A0A0G2K1W1_RAT RAB11 family-interacting protein 5 OS=Rattus norvegicus OX=10116 GN=Rab11fip5 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,11821,11480
A0A0G2K266;B2GV24,tr|A0A0G2K266|A0A0G2K266_RAT E3 UFM1-protein ligase 1 OS=Rattus norvegicus OX=10116 GN=Ufl1 PE=1 SV=1;sp|B2GV24|UFL1_RAT E3 UFM1-protein ligase 1 OS=Rattus norvegicus OX=10116 GN=Ufl1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,248780,0,45162
A0A0G2K3N1;F1M8X9,tr|A0A0G2K3N1|A0A0G2K3N1_RAT Golgi brefeldin A-resistant guanine nucleotide exchange factor 1 OS=Rattus norvegicus OX=10116 GN=Gbf1 PE=1 SV=1;tr|F1M8X9|F1M8X9_RAT Golgi brefeldin A-resistant guanine nucleotide exchange factor 1 OS=Rattus norvegicus OX=1011,0,0,0,0,0,0,49935,0,0,0,0,0,27956,0,0
A0A0G2K405;P12368,tr|A0A0G2K405|A0A0G2K405_RAT cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Rattus norvegicus OX=10116 GN=Prkar2a PE=1 SV=1;sp|P12368|KAP2_RAT cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Rattus norvegicus OX=10116 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K527;Q9Z272,tr|A0A0G2K527|A0A0G2K527_RAT ARF GTPase-activating protein GIT1 OS=Rattus norvegicus OX=10116 GN=Git1 PE=1 SV=1;sp|Q9Z272|GIT1_RAT ARF GTPase-activating protein GIT1 OS=Rattus norvegicus OX=10116 GN=Git1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,26020,0,27324
Q00A22;A0A0G2K6T9,tr|Q00A22|Q00A22_RAT Protocadherin 1 (Fragment) OS=Rattus norvegicus OX=10116 PE=2 SV=1;tr|A0A0G2K6T9|A0A0G2K6T9_RAT Protocadherin 1 OS=Rattus norvegicus OX=10116 GN=Pcdh1 PE=1 SV=1,0,0,0,0,0,0,4242.3,0,0,0,0,0,4393.8,0,5826.5
D3ZIL9;A0A0G2K6W6,tr|D3ZIL9|D3ZIL9_RAT DIS3-like exonuclease 2 OS=Rattus norvegicus OX=10116 GN=Dis3l2 PE=1 SV=2;tr|A0A0G2K6W6|A0A0G2K6W6_RAT DIS3-like exonuclease 2 OS=Rattus norvegicus OX=10116 GN=Dis3l2 PE=1 SV=1,0,0,93226,0,0,0,80825,0,0,22752,0,0,98775,18591,199340
A0A0G2K6Y9;M0R930;O70257,tr|A0A0G2K6Y9|A0A0G2K6Y9_RAT Syntaxin-7 OS=Rattus norvegicus OX=10116 GN=Stx7 PE=3 SV=1;tr|M0R930|M0R930_RAT Syntaxin-7-like OS=Rattus norvegicus OX=10116 GN=LOC100910446 PE=3 SV=2;sp|O70257|STX7_RAT Syntaxin-7 OS=Rattus norvegicus OX=10116 GN=Stx7 PE=1 SV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K7J0;Q924N5,tr|A0A0G2K7J0|A0A0G2K7J0_RAT Long-chain-fatty-acid--CoA ligase ACSBG1 OS=Rattus norvegicus OX=10116 GN=Acsbg1 PE=1 SV=1;sp|Q924N5|ACBG1_RAT Long-chain-fatty-acid--CoA ligase ACSBG1 OS=Rattus norvegicus OX=10116 GN=Acsbg1 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K8B3;G3V629,"tr|A0A0G2K8B3|A0A0G2K8B3_RAT Protein phosphatase 1, regulatory subunit 18 (Fragment) OS=Rattus norvegicus OX=10116 GN=Ppp1r18 PE=1 SV=1;tr|G3V629|G3V629_RAT Protein phosphatase 1, regulatory subunit 18 OS=Rattus norvegicus OX=10116 GN=Ppp1r18 PE=1 SV=2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2RYP7;A0A0G2KA04;A0A0G2K8E5,tr|B2RYP7|B2RYP7_RAT Integrator complex subunit 10 (Fragment) OS=Rattus norvegicus OX=10116 GN=Ints10 PE=2 SV=1;tr|A0A0G2KA04|A0A0G2KA04_RAT Integrator complex subunit 10 OS=Rattus norvegicus OX=10116 GN=Ints10 PE=1 SV=1;tr|A0A0G2K8E5|A0A0G2K8E5_RAT Integr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1M0V4;A0A0G2K8V3,tr|F1M0V4|F1M0V4_RAT THO complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Thoc2 PE=1 SV=2;tr|A0A0G2K8V3|A0A0G2K8V3_RAT THO complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Thoc2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K8Y7;D3ZLE2;D3ZE26,tr|A0A0G2K8Y7|A0A0G2K8Y7_RAT Transmembrane and coiled-coil domain family 3 OS=Rattus norvegicus OX=10116 GN=Tmcc3 PE=1 SV=1;tr|D3ZLE2|D3ZLE2_RAT Transmembrane and coiled-coil domain family 3 OS=Rattus norvegicus OX=10116 GN=Tmcc3 PE=1 SV=1;tr|D3ZE26|D3ZE26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K9V6,tr|A0A0G2K9V6|A0A0G2K9V6_RAT Threonyl-tRNA synthetase OS=Rattus norvegicus OX=10116 GN=Tars PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2KA27;O08873,tr|A0A0G2KA27|A0A0G2KA27_RAT MAP kinase-activating death domain protein OS=Rattus norvegicus OX=10116 GN=Madd PE=1 SV=1;sp|O08873|MADD_RAT MAP kinase-activating death domain protein OS=Rattus norvegicus OX=10116 GN=Madd PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q924L6;A0A0G2KA64;Q9JK64;Q6PSM0,tr|Q924L6|Q924L6_RAT Truncated P-glycoprotein OS=Rattus norvegicus OX=10116 GN=Mdr1a PE=2 SV=2;tr|A0A0G2KA64|A0A0G2KA64_RAT Phosphatidylcholine translocator ABCB4 OS=Rattus norvegicus OX=10116 GN=Abcb1b PE=1 SV=1;tr|Q9JK64|Q9JK64_RAT Multidrug resistance p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4KLK1;A0A0G2QC38,"tr|Q4KLK1|Q4KLK1_RAT Similar to splicing factor p54, isoform CRA_b OS=Rattus norvegicus OX=10116 GN=Srsf11 PE=2 SV=1;tr|A0A0G2QC38|A0A0G2QC38_RAT Serine and arginine-rich-splicing factor 11 OS=Rattus norvegicus OX=10116 GN=Srsf11 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2QC41;A0A1L5YJQ7;D3ZVD8,tr|A0A0G2QC41|A0A0G2QC41_RAT Histone deacetylase 6 OS=Rattus norvegicus OX=10116 GN=Hdac6 PE=1 SV=1;tr|A0A1L5YJQ7|A0A1L5YJQ7_RAT Histone deacetylase 6 OS=Rattus norvegicus OX=10116 GN=hdac6 PE=2 SV=1;tr|D3ZVD8|D3ZVD8_RAT Histone deacetylase 6 OS=Rattus nor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q641Z0;A0A0H2UHG4;O35832,tr|Q641Z0|Q641Z0_RAT PCTAIRE-motif protein kinase 3 OS=Rattus norvegicus OX=10116 GN=Cdk18 PE=2 SV=2;tr|A0A0H2UHG4|A0A0H2UHG4_RAT Cyclin-dependent kinase 18 OS=Rattus norvegicus OX=10116 GN=Cdk18 PE=1 SV=1;sp|O35832|CDK18_RAT Cyclin-dependent kinase 18 OS=,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2UHQ9;Q9Z327;Q9Z327-3;Q9Z327-2,tr|A0A0H2UHQ9|A0A0H2UHQ9_RAT Synaptopodin OS=Rattus norvegicus OX=10116 GN=Synpo PE=1 SV=1;sp|Q9Z327|SYNPO_RAT Synaptopodin OS=Rattus norvegicus OX=10116 GN=Synpo PE=1 SV=2;sp|Q9Z327-3|SYNPO_RAT Isoform 3 of Synaptopodin OS=Rattus norvegicus OX=10116 GN=Sy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1VKB4,tr|B1VKB4|B1VKB4_RAT Synaptopodin OS=Rattus norvegicus OX=10116 GN=Synpo PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2UHR7;D3ZHA0,tr|A0A0H2UHR7|A0A0H2UHR7_RAT Filamin-C OS=Rattus norvegicus OX=10116 GN=Flnc PE=1 SV=1;sp|D3ZHA0|FLNC_RAT Filamin-C OS=Rattus norvegicus OX=10116 GN=Flnc PE=1 SV=1,53143,108050,242330,312690,221010,240030,316980,150180,98243,733700,555270,187140,14381,514180,26022
A0A0H2UHX1;A1L1I6;Q6RJR6-2;Q6RJR6,tr|A0A0H2UHX1|A0A0H2UHX1_RAT Reticulon OS=Rattus norvegicus OX=10116 GN=Rtn3 PE=1 SV=1;tr|A1L1I6|A1L1I6_RAT Reticulon OS=Rattus norvegicus OX=10116 GN=Rtn3 PE=2 SV=1;sp|Q6RJR6-2|RTN3_RAT Isoform 2 of Reticulon-3 OS=Rattus norvegicus OX=10116 GN=Rtn3;sp|Q6R,0,0,273280,0,0,0,0,0,18421,0,0,0,19408,0,39037
A0A0H2UHZ4;O35986,tr|A0A0H2UHZ4|A0A0H2UHZ4_RAT Zinc finger Ran-binding domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Zranb2 PE=1 SV=1;sp|O35986|ZRAB2_RAT Zinc finger Ran-binding domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Zranb2 PE=1 SV=2,0,0,0,0,0,0,48481,0,0,0,0,0,40971,0,0
Q78DZ1;Q64715;F1MAQ5;A0A0U1RRX4;F1LNK0;P15146-3;P15146-4;P15146-2;P15146,tr|Q78DZ1|Q78DZ1_RAT Microtubule-associated protein OS=Rattus norvegicus OX=10116 GN=Map2 PE=1 SV=1;tr|Q64715|Q64715_RAT Microtubule-associated protein OS=Rattus norvegicus OX=10116 GN=Map2 PE=2 SV=1;tr|F1MAQ5|F1MAQ5_RAT Microtubule-associated protein OS=R,0,0,0,10291,0,0,39785,0,0,0,0,18927,27852,18562,0
A0A1B0GWU6,tr|A0A1B0GWU6|A0A1B0GWU6_RAT Coiled-coil domain-containing 170 OS=Rattus norvegicus OX=10116 GN=Ccdc170 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1W2Q616;D4A2D3,tr|A0A1W2Q616|A0A1W2Q616_RAT MYC-binding protein 2 (Fragment) OS=Rattus norvegicus OX=10116 GN=Mycbp2 PE=1 SV=1;tr|D4A2D3|D4A2D3_RAT RCR-type E3 ubiquitin transferase OS=Rattus norvegicus OX=10116 GN=Mycbp2 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A5P8DHK3;Q4G028,tr|A0A5P8DHK3|A0A5P8DHK3_RAT Nesprin 2 long isoform OS=Rattus norvegicus OX=10116 GN=Syne2 PE=2 SV=1;tr|Q4G028|Q4G028_RAT KASH domain-containing protein (Fragment) OS=Rattus norvegicus OX=10116 PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0JPL9;Q9WTY2,tr|A0JPL9|A0JPL9_RAT Rem2 protein OS=Rattus norvegicus OX=10116 GN=Rem2 PE=2 SV=1;sp|Q9WTY2|REM2_RAT GTP-binding protein REM 2 OS=Rattus norvegicus OX=10116 GN=Rem2 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2VD09;Q9QZM5,tr|A2VD09|A2VD09_RAT Abi1 protein OS=Rattus norvegicus OX=10116 GN=Abi1 PE=1 SV=1;sp|Q9QZM5|ABI1_RAT Abl interactor 1 OS=Rattus norvegicus OX=10116 GN=Abi1 PE=1 SV=3,0,0,0,0,0,0,0,0,0,0,0,0,212970,0,108860
B0BNM4,"tr|B0BNM4|B0BNM4_RAT RCG33221, isoform CRA_c OS=Rattus norvegicus OX=10116 GN=RGD1308134 PE=1 SV=1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1WBW4,sp|B1WBW4|ARM10_RAT Armadillo repeat-containing protein 10 OS=Rattus norvegicus OX=10116 GN=Armc10 PE=1 SV=1,0,0,114680,74498,0,39452,125220,47060,0,99988,49457,136640,41277,26957,67075
F1M989;B1WC15,tr|F1M989|F1M989_RAT Zinc finger CCHC domain-containing protein 7 OS=Rattus norvegicus OX=10116 GN=Zcchc7 PE=1 SV=2;sp|B1WC15|ZCHC7_RAT Zinc finger CCHC domain-containing protein 7 OS=Rattus norvegicus OX=10116 GN=Zcchc7 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1WC32;Q4G010,tr|B1WC32|B1WC32_RAT SUMO-activating enzyme subunit 2 OS=Rattus norvegicus OX=10116 GN=Uba2 PE=2 SV=1;tr|Q4G010|Q4G010_RAT Uba2 protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Uba2 PE=2 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1WC49,tr|B1WC49|B1WC49_RAT Api5 protein OS=Rattus norvegicus OX=10116 GN=Api5 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
