Protein_names	Gene_names	UniprotID	LFQ_intensity_1_1	LFQ_intensity_1_2	LFQ_intensity_2_1	LFQ_intensity_2_2	LFQ_intensity_20_1	LFQ_intensity_20_2	LFQ_intensity_22_1	LFQ_intensity_22_2	LFQ_intensity_28_1	LFQ_intensity_28_2	LFQ_intensity_29_1	LFQ_intensity_29_2	LFQ_intensity_31_1	LFQ_intensity_31_2	LFQ_intensity_33_1	LFQ_intensity_33_2	LFQ_intensity_36_1	LFQ_intensity_36_2	LFQ_intensity_37_1	LFQ_intensity_37_2	LFQ_intensity_39_1	LFQ_intensity_39_2	LFQ_intensity_4_1	LFQ_intensity_4_2	LFQ_intensity_25_1	LFQ_intensity_25_2	LFQ_intensity_8_1	LFQ_intensity_8_2	LFQ_intensity_9_1	LFQ_intensity_9_2__
RNA binding protein fox-1 homolog 2	Rbfox2	A1A5R1	0	0	0	0	0	0	0	0	8666.9	12478	12015	11173	14012	18528	7917.5	0	12719	12058	11261	0	9263.5	10056	0	10748	0	10048	0	0	8028.1	12569
Pre-mRNA-processing factor 6	Prpf6	A1A5S1	15369	10298	14438	0	35132	34009	19198	18076	0	0	20163	31962	0	14934	25405	25923	17606	11342	14543	16916	8922	15206	27886	25489	17325	15455	17141	17748	42905	40449
Actin-related protein 2/3 complex subunit 5-like protein	Arpc5l	A1L108	19404	10026	13791	34578	30230	30311	66958	56343	205840	132670	22998	29267	15781	16169	22608	0	37106	279510	156650	26658	33346	37026	0	49559	0	25231	24917	0	48437	550210
Lipase maturation factor 2	Lmf2	A1L1J9	4414.4	8446.7	19979	23571	28653	32971	60003	67770	7150.8	0	37244	51293	43672	48363	33959	30265	64125	66500	46336	34114	54393	75609	14938	0	55252	62787	58699	34035	0	0
CDC42 small effector protein 2	Cdc42se2	A1L1K4	3262.8	0	0	0	7578.9	3186.8	10426	8936.1	13070	12556	17220	11808	6070.5	8459.7	0	1560.5	12775	11859	14605	11165	11864	10330	0	3828.9	10519	10439	11211	15024	22878	26217
Transmembrane protein 214	Tmem214	A1L1L2	0	0	0	0	14903	30784	15202	38453	21398	30134	13947	14149	0	0	36472	27653	49562	0	0	25149	53877	64505	0	0	33099	0	24517	26736	27433	14596
"Glycogen [starch] synthase, muscle"	Gys1	A2RRU1	0	5855.3	6947	5299.1	22229	27979	25416	31034	12706	12626	17733	17495	18794	15691	17469	19544	20594	22618	28427	26468	24042	22160	7341.4	9082.3	15685	14002	20619	21715	8878.2	13140
Adipocyte enhancer-binding protein 1	Aebp1	A2RUV9	97906	26236	62260	59969	21901	23764	52528	50031	108870	115380	99481	108200	96420	103170	40081	29442	49768	45558	78962	69317	86597	81166	9685.7	6564.5	117710	112560	43999	34549	5022.5	15423
TIP41-like protein	Tiprl	A2VCX1	0	0	0	0	16588	19463	21691	24367	35188	35441	24046	28755	22895	22495	9285.9	0	29464	16367	18701	15041	17126	33074	0	6955.5	22130	20123	11270	8929.2	29100	27949
Pre-B-cell leukemia transcription factor-interacting protein 1	Pbxip1	A2VD12	7981.1	45825	9615.8	19411	18402	23118	26359	35661	6432.4	11366	61943	57485	6619	0	6177.9	10532	17260	21353	28548	28344	37791	47048	37446	52371	22627	20098	29686	38567	0	7578.5
Sister chromatid cohesion protein PDS5 homolog A	Pds5a	A4L9P7	7169.8	0	11963	11742	13938	16660	9033.6	9313.8	9709.5	10863	9962.1	6339.8	17355	11515	12406	14537	10220	6131.6	9431.1	7833.3	5276.8	6886	4717.4	0	10009	8418.6	7649.5	7722	16007	16400
Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	A7VJC2	393820	241480	457510	314260	275280	257470	243570	280730	155900	112380	242180	230800	175260	175350	354400	336850	269180	297840	247600	256180	336550	315840	323610	319430	358230	353840	276040	284710	225570	164150
Uncharacterized protein C11orf96 homolog	Ag2	A8IHN8	0	5977	13552	14550	4185.8	1900.8	7125.6	8364.6	8145.2	10272	9848.1	11228	17700	18051	4886.5	0	10809	12299	11867	13499	6471.7	5961.1	0	0	4681.2	2877.6	3296.8	8141.1	0	0
Tumor protein p63-regulated gene 1-like protein	Tprg1l	A8WCF8	0	0	0	0	1703.1	1723.7	0	0	0	0	0	0	6939.2	0	0	0	5445.3	4574.4	0	0	0	0	13157	0	0	0	0	0	0	24274
Histone H2A.J;Histone H2A type 3;Histone H2A type 1-E;Histone H2A type 1-C;Histone H2A type 1-F;Histone H2A type 4	H2afj	A9UMV8	1425700	5109300	2564500	2541600	957170	877050	880280	1002100	2203000	2131400	680600	708610	3130000	3007200	1067400	1211000	944250	1232600	981110	1253600	585600	536170	71556	80733	670780	593430	910590	993610	1031300	1166900
Prefoldin subunit 2	Pfdn2	B0BN18	13571	12215	24065	16059	44843	39330	29946	29031	24768	25073	25675	31276	30893	37245	31073	31846	21752	26116	30866	32027	15983	0	23311	24431	17782	15937	30068	28676	21653	62959
"28S ribosomal protein S31, mitochondrial"	Mrps31	B0BN56	0	0	0	0	0	0	0	0	107580	76266	0	0	0	0	0	0	16001	20795	0	0	27972	27144	0	0	0	37439	21323	0	106350	0
Suppressor of G2 allele of SKP1 homolog	Sugt1	B0BN85	0	0	0	0	5947	12989	17165	20049	7363.3	6623.8	13816	17808	7513.4	6227.3	6969.1	10259	15223	16961	10240	12613	20836	21018	7154.9	17013	11236	11542	8580	3380.8	31415	10542
26S proteasome non-ATPase regulatory subunit 13	Psmd13	B0BN93	1488	14105	15877	20726	23990	16173	23557	28261	9278.4	16772	18861	13002	20436	28566	26032	18556	23160	24294	25149	21460	30867	30825	17285	12537	23505	31991	21180	19149	42908	43300
Protein FAM136A	Fam136a	B0BN94	0	0	0	0	6421.6	4671	1274.7	0	0	0	3104.9	6592	0	0	0	1562.3	2862.2	3378.1	1417	3945	0	0	0	4724.9	0	0	1923.7	0	20790	25847
Coactosin-like protein	Cotl1	B0BNA5	44882	50671	53128	56458	49347	48784	84383	91508	61933	52002	28847	28739	19935	19681	123310	138070	112230	118990	43166	47182	95662	86481	5104.2	8238	122490	113210	85964	89184	60394	116720
Eukaryotic translation initiation factor 3 subunit I	Eif3i	B0BNA7	19023	6053	58651	45911	57276	50219	41559	24000	31504	13873	35592	29005	34214	37431	43293	51795	30139	34884	27101	33476	31153	40123	32461	41571	29616	33370	44124	46602	80073	65972
Embryonic polyadenylate-binding protein 2	Pabpn1l	B0BNE4	0	0	0	0	0	0	4922.8	6270.3	0	0	0	0	0	0	0	7053.4	7169.9	7206.7	0	0	4913.6	8608.6	0	0	6390.1	5880.7	3599.8	3662.4	0	0
S-formylglutathione hydrolase	Esd	B0BNE5	24510	108790	155210	163610	102740	95637	233410	184920	203400	209620	182770	208700	226840	223150	128080	84005	249630	242740	176960	203400	231280	237950	91047	69141	181470	205030	113270	113070	158900	151530
Septin-8	39692	B0BNF1	63120	31898	32831	15926	10335	10311	18015	22501	28505	14923	12856	18806	11838	14046	20189	12372	24838	29802	13511	9153.8	26368	27629	15525	5170.2	23844	20919	19409	21192	0	3829.9
Olfactomedin-like protein 3	Olfml3	B0BNI5	51179	11807	44697	59405	40064	36071	110390	113990	171270	180540	174200	169520	193780	193680	27450	20628	52322	50033	211470	213850	129690	120830	38419	3241.7	160690	145360	94552	91376	6049.9	12669
NAD(P)H-hydrate epimerase	Apoa1bp	B0BNM1	26015	10819	18490	18993	7763.7	8648.4	27021	24561	11784	11586	10796	14184	21304	23616	11886	10450	14372	19220	15811	16304	16230	25298	36746	16244	23104	21501	11352	12565	0	0
Glycolipid transfer protein	GLTP	B0BNM9	30016	31794	41319	40254	32806	27587	39741	44482	40724	0	34694	38818	48765	51960	25978	26433	41442	39871	0	43602	36123	37486	60301	66900	39387	39135	30885	29902	42530	40659
Carbonic anhydrase 1	Ca1	B0BNN3	134250	122060	110770	123470	51496	55270	22928	21510	10476	9918.3	20157	12752	21632	18939	14404	10195	14357	12944	32775	31925	19451	23959	201070	192810	21763	14669	27026	19300	3508	2978.8
BAG family molecular chaperone regulator 1	Bag1	B0K019	0	0	6143.8	6448	0	4360.6	0	675.9	0	0	0	0	0	1347.4	2727	0	0	0	0	0	0	0	13306	14115	2685	2346.5	0	0	0	0
CDGSH iron-sulfur domain-containing protein 1	Cisd1	B0K020	0	11601	8269.2	12574	17790	16931	18221	19975	29558	25874	16338	18022	18622	16968	6921.5	6556.2	15579	20379	20105	20060	18955	17449	6496.1	7446	18218	9106.1	17108	17079	37213	40293
Oligosaccharyltransferase complex subunit OSTC	Ostc	B0K025	0	0	0	0	0	0	14658	15780	0	0	0	1156.1	0	0	0	0	20076	19352	2243.7	1871	17036	17992	0	0	8238.3	8283.7	4653.4	0	0	0
Serine/threonine-protein kinase 24;Serine/threonine-protein kinase 24 35 kDa subunit;Serine/threonine-protein kinase 24 12 kDa subunit	Stk24	B0LT89	14372	20311	13000	16047	13179	12911	7408.1	7162.7	12305	10441	11679	11942	13559	12565	10441	12197	8190.7	7812.5	13314	12195	4415.5	4170.3	11279	12176	6375.5	5612.8	9942	10975	12217	10026
Sorting nexin-5	Snx5	B1H267	30085	25026	32624	39164	68822	71606	49233	52219	67135	71882	50887	60973	60621	68087	69069	66474	64118	60948	59452	58747	43552	57560	60201	71085	54875	63219	54583	61424	156320	159120
Armadillo repeat-containing protein 10	Armc10	B1WBW4	6992.1	0	7626.7	0	0	0	8325.5	10761	0	4835.6	11412	9743.1	0	0	3642.4	2197	12390	17240	9275.6	8240.9	12115	1264.6	19497	28944	8333.4	12275	9930.5	8573.9	5674.3	0
	Acad9	B1WC61	0	74594	66452	48363	20010	23399	30223	29247	14688	20917	0	0	1338	0	26633	12284	12764	26367	0	18475	24877	5841.7	30127	33186	13304	11354	0	4227.3	18306	18696
Eukaryotic translation initiation factor 5B	Eif5b	B2GUV7	0	0	0	0	15428	15751	10871	10517	7495.7	10626	12211	9164.3	4194.9	7470	14479	15005	6504.5	7560.1	5812.2	7119.3	6642.3	8767.4	9195.1	7791.6	6822.6	5416.4	11821	6187	42251	45772
F-actin-capping protein subunit alpha-1	Capza1	B2GUZ5	79936	91394	24113	31159	83218	78157	109020	101040	109620	124040	116660	120270	116680	119140	61041	52762	129810	135260	103350	118190	96750	93362	79541	80957	125910	117760	113230	83742	196870	210990
"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"	Oxct1	B2GV06	32159	32425	29125	24837	31623	36414	50596	49171	53007	62030	54011	52071	56040	51979	17526	11981	67128	64335	49854	46194	58115	53744	63476	58504	54623	46910	47053	51074	5505	7002.3
E3 UFM1-protein ligase 1	Ufl1	B2GV24	34642	24916	52771	19407	98400	63916	82683	65062	27307	25124	78808	68084	67132	52896	69600	104240	66742	70626	70816	75663	48858	29447	60703	85305	52943	62631	77986	45287	24715	37652
Ubiquitin-like protein 4A	Ubl4a	B2GV38	0	0	0	0	3427.7	3055.1	0	3069	0	0	0	3244	3005.8	4298.3	1929	3707.5	0	2670.4	3406.3	3575.1	4230.2	0	2985.4	2768.3	0	0	0	0	0	1721.8
Neutral cholesterol ester hydrolase 1	Nceh1	B2GV54	0	0	0	0	0	0	0	0	0	0	2089.8	0	0	0	0	0	0	0	0	2333.4	0	0	7764.1	9471.5	0	1072.1	0	830.27	0	0
WAS protein family homolog 1	Wash1	B2RYF7	0	0	0	0	0	0	0	0	0	0	0	13854	0	0	0	0	0	0	0	13397	0	0	0	0	0	0	0	0	2373.8	5226.8
Ubiquitin thioesterase OTUB1	Otub1	B2RYG6	38775	63561	29835	30436	27544	33984	29668	32254	27348	28922	33575	30890	24779	22960	26912	31146	32961	35203	30856	20353	34150	34443	30969	30217	27020	32560	27522	28908	33736	31375
Lys-63-specific deubiquitinase BRCC36	Brcc3	B2RYM5	0	0	0	0	12123	9935.1	0	0	0	5634.6	4393.3	0	0	0	0	1144.8	1553.3	1930.1	0	0	2311.1	3220.9	4574.5	7643.1	0	0	16081	10037	4229.4	5379.8
Fumarylacetoacetate hydrolase domain-containing protein 2	Fahd2	B2RYW9	0	35222	31188	26718	11315	19431	22084	24093	28408	21645	9284.9	9321.1	26784	25182	0	0	19918	20034	22250	26265	23111	23887	17865	19788	26281	25502	25048	25995	0	0
Receptor expression-enhancing protein 5	Reep5	B2RZ37	0	0	6418.3	6190.5	3989.9	2327.1	5734.5	2494.5	3937.5	0	0	0	0	0	0	4424.6	3897	3943.1	4607.2	1174.9	0	0	2300.9	3427.3	1218.1	1202.5	2824.9	0	0	0
Vacuolar protein sorting-associated protein 29	Vps29	B2RZ78	0	13899	24981	22885	17527	18702	18952	27732	17845	29187	11089	9269.9	24122	27352	29882	27909	14345	16116	15190	20528	12403	14349	13676	15296	20197	22696	21797	23684	33186	22600
Tumor protein p53-inducible protein 11	Tp53i11	B3DMA0	2654.8	0	0	0	5926.6	4999.2	4021.2	3923.8	0	0	4314.9	3365.5	2925.3	3096.1	7233.2	6875.2	0	2320.9	0	4283	0	2159.6	4438.5	5495.3	2768	1441.3	0	0	12711	13327
Acyl-CoA dehydrogenase family member 11	Acad11	B3DMA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Septin-11	40787	B3GNI6-3	87656	99989	128450	110700	82922	103260	146620	164450	184630	190550	140050	168230	169910	201370	111870	115230	161150	181520	152040	159360	160190	148600	94750	117020	202890	191030	171430	203220	50690	10057
High mobility group nucleosome-binding domain-containing protein 5	Hmgn5	B4F777	0	46284	43448	52295	44070	45535	26361	27638	11486	28994	20433	27344	80955	71236	25454	19546	20880	25775	30388	27944	39676	41711	29347	32643	27603	4099.8	16818	0	3489.9	8281.3
Niban-like protein 1	Fam129b	B4F7E8	15007	23662	19546	26061	71013	73699	16663	18973	22078	27360	23270	23634	36346	35579	43385	43056	37547	38728	16828	17332	15124	24649	19411	19587	16631	15943	6255.3	12019	141530	117490
Erlin-2	Erlin2	B5DEH2	73717	8643.7	57384	34898	28688	1750.1	21766	18787	23172	29845	2709.8	6356.6	90547	38749	50615	96565	53833	60750	0	7432.3	44217	39432	58136	30136	0	31732	14800	26088	58935	44800
Vacuolar protein sorting-associated protein 28 homolog	Vps28	B5DEN9	0	0	14725	10760	9233.2	9106	3913.1	5563	0	0	0	0	0	6285	1213.3	0	0	0	5574.1	7177.6	0	0	0	0	0	3193.6	4110.3	3742.3	13989	13679
Probable Xaa-Pro aminopeptidase 3	Xpnpep3	B5DEQ3	0	0	0	0	0	0	2739.7	0	0	5075.5	2326.7	0	0	2763.9	0	10203	8815.7	7124.6	8900.6	11691	10824	3688.9	8952.8	7633.2	8753.7	7901	3246.3	0	20134	21531
Lysyl oxidase homolog 2	Loxl2	B5DF27	0	0	0	0	22957	32243	14971	0	0	0	0	0	0	0	5345	15767	1914.5	3172.9	0	0	0	2906.7	0	0	0	0	0	0	35969	38119
Membrane magnesium transporter 1	Mmgt1	B5DF51	0	2664.4	5764.6	5354.4	0	0	0	4188.7	2379.2	3237.1	0	0	0	0	8650.6	8315.7	2747.8	2268.6	0	0	939.48	3196.8	0	0	0	0	0	0	0	0
Cullin-3	Cul3	B5DF89	0	0	13707	28198	70783	106000	37415	43393	51534	25502	23610	20163	18247	16462	23625	22235	17815	22055	29323	22569	26000	35081	57620	58558	37133	38735	36932	38583	42963	40386
ELAV-like protein	Elavl1	B5DF91	53598	71856	76252	69850	70648	72747	88065	81376	105770	96123	65664	93873	58049	64504	72660	73106	100780	102130	60175	64295	95772	115690	52657	26622	99277	86225	82268	83443	105960	95595
Sushi repeat-containing protein SRPX2	Srpx2	B5DF94	0	0	0	0	0	0	0	5655.7	0	0	0	0	0	9736.3	0	0	0	0	0	12147	0	0	0	0	16478	14275	0	0	0	0
Eukaryotic translation initiation factor 3 subunit C	Eif3c	B5DFC8	23268	3372.8	14552	18227	48509	49234	45048	47155	32145	47471	53258	58259	46738	44074	34070	39341	47844	49416	44689	46580	54480	67785	55602	38911	50662	50277	40120	44209	81087	82405
Nidogen-2	Nid2	B5DFC9	36579	14641	25092	23356	410430	413610	22848	26781	34256	56697	25101	32335	49301	43357	301310	340020	71522	68038	23825	26853	13000	12841	143880	148340	13729	16345	15530	16194	687610	728990
Nidogen-2	Nid2	B5DFC9-2	0	0	0	0	13200	10198	1002.5	0	0	0	0	0	0	0	0	1405.8	6314.1	6565	0	0	0	0	3626.2	3576	0	513.14	0	0	63738	69048
Adenosylhomocysteinase	Ahcyl1	B5DFN2	0	0	2298.8	0	3265.3	7401.3	7865.7	4762.3	8566.8	7554.4	9961.5	11832	22678	20887	4825.3	2890.2	4715	4306.5	7495.2	7418.5	7525.4	8082.2	18663	18756	0	5792.1	1422.8	0	9816.7	9527
"Keratin, type I cytoskeletal 15"	Krt15	Q6IFV3	0	0	0	0	0	5094	8874.8	10245	0	0	4429.2	5223	0	0	0	0	3898.8	0	28000	26432	4655.4	4864.8	23887	0	16627	21777	0	0	11628	9849.7
			95057	19721	57226	62216	45856	29561	62759	60508	36844	50949	24060	35384	40984	35146	32660	40472	23106	27029	54128	54348	67858	71774	40156	36221	155590	156230	34190	34656	0	0
			79501	39625	52084	44791	69578	76983	43506	53301	6350.7	8851.5	14491	20068	22204	27854	48618	42245	35046	32083	44320	46994	14740	11779	0	0	40549	53834	29485	35826	6017.5	3474.9
			0	19508	22379	30983	0	0	1367.1	2607.3	0	5142.5	2755.6	0	0	2362.1	0	2223.9	1105.4	29299	5543	5025.6	14505	2812	0	0	0	0	2432.7	0	70041	59617
			0	0	0	0	30385	30955	5830.6	0	0	0	16774	19141	9068.4	0	24628	30348	3956.6	0	0	6337.7	7916.5	1580.4	0	0	0	0	0	0	11089	0
			48438	0	0	0	12890	19634	16677	18838	0	0	10330	22087	0	0	0	0	28731	20005	0	0	8393.8	11520	36695	39555	43379	35376	0	0	0	0
			3003300	1629000	1298300	1365200	480140	518020	272170	246640	351100	485780	274500	266700	439440	411620	1171100	1356400	219170	267340	439230	424750	219340	179000	280990	244600	350530	313520	559050	597410	56126	67537
			0	0	8000	6985.2	3722.8	4806.1	2610.2	3483.4	5223.8	6703.4	0	2174	7687.9	8357.3	5591.7	4474.8	0	0	6857.6	0	3172.2	3052.4	0	0	0	0	1669.3	0	3520.4	0
			0	0	0	0	15830	10781	7688.1	6978.5	0	0	0	0	0	0	0	0	0	0	17476	18768	1642.4	0	15310	15422	1314.5	0	26982	34243	0	0
			0	0	0	0	7803.5	8938.4	2838.7	3440.5	0	0	0	0	3732.9	0	0	0	3666.9	3844.3	5467.3	0	0	4290.5	0	5300.7	3297.4	1596.6	1905.2	5546	0	10547
			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
			270750	129360	149040	120190	92771	75882	192860	200680	137880	121240	258400	251840	143390	134650	80985	80120	94321	104990	152190	181920	305360	341810	290460	132100	285480	279730	160840	144030	6502.1	7977.8
			4709400	5030100	1659800	2026100	1422200	1640800	2100600	2054500	1927200	2212200	3770900	3447800	1931800	1882900	1683000	1729500	2083600	2157600	3103400	2772200	3306500	3237800	2100900	2217100	2498300	2205100	2465400	2709500	547970	360110
			78325	16688	16612	23815	12449	5020.3	15081	11474	9348.4	13754	15382	17030	12105	16259	81987	45344	4585.6	8822.9	18115	20539	8185.9	9081.2	42580	40693	6630.3	9430.6	14959	7712.4	3658.9	0
			90328	16442	12214	13267	305630	309240	113840	109180	21656	29550	15250	14818	27919	29475	38898	35190	8174.3	2876	14224	17581	3816.9	6609.9	49123	50507	12082	8397.2	184830	181670	7588.3	3906.9
			0	0	0	0	3649.6	0	1035.1	2141.4	7420.7	7789.6	1734.2	2140.5	7209.2	693.63	11575	0	8247.4	12245	0	3136	3088.4	0	8344.8	10294	3383.7	0	0	8911.6	23861	20596
			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
			14709	198980	117700	118510	32605	26168	37006	38718	45328	43659	19027	19642	42457	45390	95001	0	28537	21724	54498	47695	0	47368	0	0	6551.3	24084	18484	8671.2	12594	12249
			0	5066.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11025	0	1680.4	0	0	0	0	13028	14780	0	0
			109930	32862	3358.4	2461.3	287360	320540	115620	122030	9105.9	5224.1	17165	16665	43185	40405	23072	27273	896	6305.7	9036.7	21229	13146	17991	39461	49572	2432.4	2415.4	144840	149020	11225	2455.8
			100970	1767.2	5447.4	3021	793250	804550	263780	287620	17735	26622	58931	54196	56592	48647	61814	57530	31157	32790	34772	44836	54626	579.13	65192	64211	41508	55195	342820	300820	3563.9	17518
			27089	0	0	0	66303	68910	12914	9917.8	0	0	0	0	0	0	17381	9500.3	0	10191	0	0	0	0	7421.1	8405.3	0	0	24926	24562	0	0
			34767	68989	49901	49384	24324	25462	18280	29283	24030	33952	18924	41847	31409	31488	32141	33001	21078	16910	17949	16298	27379	29935	18702	17344	23017	20273	22533	23139	8910.3	8861.4
			524810	82979	144570	113950	88510	80300	96903	99775	0	0	75495	77369	139790	127410	434070	463070	299180	299550	117280	122630	0	2188.7	44458	41620	0	0	405010	403320	35116	35951
			0	0	0	15034	0	0	15321	14508	0	0	0	0	0	0	0	0	2599.8	0	0	0	29684	27942	0	0	25815	23553	6264.8	9266.6	0	0
			33321	60005	26979	39280	28005	28561	39577	43712	82841	96333	23594	28800	19303	19058	7146.5	8689.9	25877	23288	47326	44991	23150	25137	20848	17153	87607	73958	26376	26348	0	1821.6
			0	20336	27441	10952	3502.2	0	17781	13807	0	7489.5	14022	15611	0	19256	3747.7	3622.7	13568	13359	9844.8	0	29961	25276	0	0	23377	22708	12848	14100	0	0
			328350	414330	319310	331910	223470	219720	172300	172640	261060	254270	483970	527020	437440	425970	437000	433090	259850	253290	847770	877070	139460	139980	57133	63011	141040	122460	197610	187500	18366	10180
			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5313.9	0	0	0	0	0	0	0	16318	0	0	0	0
			3124.1	0	2527.9	25959	6894.5	5449.9	16997	15375	3941.6	9775.1	8249.9	9923.2	14662	12868	0	0	7873.1	15154	13907	14120	25617	27245	17456	13156	19660	19464	7227.8	7775.7	0	0
			0	0	0	0	5969.9	6986.3	0	4881.6	0	0	0	0	0	0	0	3232.5	0	0	1903	0	0	0	0	0	0	2308.7	0	0	0	0
			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1872.1	0	0	0	0	0	0	10809	10355	0	0
			34898	0	0	9544.3	7726.3	14591	22767	26015	20574	17151	24109	19829	4975.7	6483.4	7192.3	7337.4	23624	27001	28011	31731	43662	46420	0	0	15475	25700	22917	28859	0	3123.4
"Keratin, type II cytoskeletal 7"	Krt7	Q6IG12	35238	38991	24717	31330	28043	33960	54014	38195	725.34	9070	47796	54794	8232.6	12471	34492	22763	23604	21786	36326	47957	14137	13210	88463	81852	47411	46075	38585	31081	3722.1	5531.1
			28762	35310	3442.3	4753.6	17147	20373	0	2743	0	0	31899	33820	7358.7	7885.7	4376.1	0	9185.7	5797.2	0	2476	9607.3	12709	43643	45859	0	10029	6635.5	7992.3	11990	12145
GTP-binding protein 1	Gtpbp1	D2XV59	11394	0	21300	32317	2296.1	15759	3018.7	24082	7951.5	28328	0	18962	0	9806.1	9564.7	0	20777	30279	72534	72355	55557	0	0	10325	33436	13564	0	0	0	0
Ras-related protein R-Ras	Rras	D3Z8L7	32585	2511.6	17896	25004	33965	34306	30645	32189	26314	27405	32864	29946	44814	41207	29634	29956	24675	27104	42556	38938	21272	21857	12959	12509	37861	37812	55823	55344	12871	14822
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	Smarcad1	D3Z9Z9	0	0	2626.7	2420.3	0	0	3530.5	3349.5	0	0	0	0	0	0	0	0	9278.5	7738.1	0	0	5254.3	6249.4	0	0	7839.7	5615.6	5402.1	0	0	0
"ATP synthase subunit f, mitochondrial"	Atp5j2	D3ZAF6	79401	96442	98613	77560	76378	77533	59054	49788	86196	122440	70785	67706	91722	91694	76098	81725	75813	71125	96170	88197	64066	55631	107500	138820	69146	56711	71392	72188	46537	37427
	Ldlrap1	D3ZAR1	0	0	0	0	13193	7145.2	0	0	0	18447	0	0	30665	28643	10575	15545	0	0	0	0	0	0	3767	22021	0	0	0	0	93991	97402
Serine/threonine-protein kinase Nek7	Nek7	D3ZBE5	0	0	5363.9	0	0	3233.4	4750.6	6012.4	0	5615	8553.6	8304.8	8628.8	0	0	0	0	6664.2	7312.4	4595.1	6186.5	5878.7	788.93	0	5171.3	6129.8	6065.5	5771.4	0	0
Histone H1.5	Hist1h1b	D3ZBN0	92147	19287	27472	27109	44102	43747	15227	18831	14554	14730	37778	45666	40003	47252	134480	122870	67524	64903	29937	30512	14990	14714	28653	48891	29843	28483	59653	64924	119440	132970
