Protein_names	Gene_names	UniprotID	LFQ_intensity_R1_1	LFQ_intensity_R1_2	LFQ_intensity_R2_1	LFQ_intensity_R2_2	LFQ_intensity_R20_1	LFQ_intensity_R20_2	LFQ_intensity_R22_1	LFQ_intensity_R22_2	LFQ_intensity_R25_1	LFQ_intensity_R25_2	LFQ_intensity_R28_1	LFQ_intensity_R28_2	LFQ_intensity_R29_1	LFQ_intensity_R29_2	LFQ_intensity_R31_1	LFQ_intensity_R31_2	LFQ_intensity_R33_1	LFQ_intensity_R33_2	LFQ_intensity_R36_1	LFQ_intensity_R36_2	LFQ_intensity_R37_1	LFQ_intensity_R37_2	LFQ_intensity_R39_1	LFQ_intensity_R39_2	LFQ_intensity_R4_1	LFQ_intensity_R4_2	LFQ_intensity_R8_1	LFQ_intensity_R8_2	LFQ_intensity_R9_1	LFQ_intensity_R9_2
Galectin-1	Lgals1	P11762	3568000	3525900	5000100	5567700	2451100	2568800	4101000	3941200	4196900	4399600	5004100	4990900	4435500	4398400	4565500	3932900	3550300	3150800	5565200	5841900	4316600	4089300	3973100	3894000	2312400	2383400	4163200	4152100	1141200	824700
C3-beta-c	C3	M0RBF1	217190	216180	4221900	4803300	156520	188840	384860	390990	481000	478450	307450	308350	541590	566960	548940	598420	188120	163830	251950	259220	267120	275390	479090	464310	627300	597720	419480	413450	136620	125270
Ig	Igg-2a	P20760	788080	856420	2773900	2801700	695460	645480	832430	881830	1601100	1573500	850110	859010	571180	595430	815860	819110	550870	575920	849800	841800	793810	809530	1131000	1246500	2197600	2284400	1178400	1137300	363020	360560
320150	351440	336900	332340	454170	497080	3550400	3746800	753340	774390	67119	46234	380980	369160	348380	363090	840180	922000	97556	109200	729570	740730	452530	475730	1319200	1271900	597970	571230	28912	21511
Annexin	Anxa6	Q6IMZ3	304460	312610	429720	401630	207740	231990	436460	446250	391350	399090	531320	554370	511650	506520	447300	416840	327450	327910	373140	355870	609180	609740	406160	427950	216140	221080	491780	498890	74224	79570
Isoform	Tpm1	P04692-2	577250	641060	756690	771180	1065300	1094700	1162300	1166800	650510	665480	985560	1005300	1134900	1291200	1269700	1233800	634880	610940	818850	792270	1135200	1240800	774730	735700	645300	644260	1364200	1426000	65199	59595
Collagen-binding	Serpinh1	Q5RJR9	256060	233940	371220	334450	1392100	1428300	611520	630420	442540	443400	516550	425210	748470	808760	343080	306510	728290	744450	742690	802660	644570	650500	946160	1000800	142060	121320	710250	708460	1008800	1030900
ATP	Atp5f1b	P10719	759540	756560	766560	689400	780090	844700	721750	772330	758240	751750	844680	824810	805210	773690	829850	834430	875920	856700	730370	702100	849920	848030	744930	757690	1008300	967160	754530	750150	278840	272480
Murinoglobulin-1	Mug1	Q03626	610170	616700	683970	637050	307520	332970	645080	670600	775330	749020	552580	511560	846140	861530	357790	359760	244900	237810	549390	556470	437020	456140	946560	1010400	601120	590110	578990	584150	206790	169000
Actin	Actc1	P68035	3488500	4043900	2583700	2076300	1403900	1276300	3602000	4032400	3659000	3634000	2411000	2161200	1042000	922700	1600200	398640	2087700	2266700	2054900	2534000	995030	2216600	4576700	3891000	22329	2860.2	4394400	4241700	531740	523470
Biglycan	Bgn	P47853	941630	977740	545720	503010	583120	619530	878020	841080	1117400	1137300	1423300	1512700	1592100	1705400	1250100	1319700	662220	660580	597100	504590	1634800	1503000	884660	922790	320440	279470	772020	753780	101900	121480
Lumican	Lum	P51886	1104400	1205500	1389200	1690300	510370	625820	470310	482410	850990	837900	1043200	1190800	874180	922850	1378000	1537100	924040	943010	522680	471140	868260	1032600	573270	638390	501260	506460	523930	495770	106560	89099
Prolargin	Prelp	Q9EQP5	1413300	1545000	1320500	1233000	412990	462260	1173300	1191100	2343000	2222200	1909700	1881000	894180	878200	1279800	1213400	1125300	1096800	900710	847870	1214600	1152100	1516300	1480200	179510	196810	810630	861950	2837.8	0
Lamin	Lmna	G3V8L3	629450	717250	795240	675570	464820	502690	480220	428880	511130	472770	609510	588750	472210	474510	817960	856430	603660	629050	570030	590730	583670	601700	457730	462160	526920	495200	504820	519000	291300	306540
Annexin	Anxa2	Q07936	685700	716510	735710	787560	899680	885200	719000	749290	697530	719680	855480	902880	730510	758380	745640	784790	793610	810600	758160	747180	689270	706980	543280	536550	459440	421890	849880	848920	700840	651820
Heat	Hsp90ab1	P34058	306900	312720	369730	309440	365880	355260	315260	308490	342550	353620	301560	321900	347230	369450	276880	276830	394990	414560	327350	322370	312950	303740	373230	373820	331250	323420	345010	348530	446840	470700
Ferritin	Ftl1	P02793	1230500	1273300	584350	575730	505000	587930	341110	388750	1527200	1460200	218900	211860	561890	612820	361660	373910	1139100	1393100	1469600	1461200	817250	765920	688650	704470	4700000	5005100	791630	609530	506050	586420
Annexin	Anxa1	P07150	419090	440130	702370	671440	443550	438960	621660	600710	622740	603520	578120	602340	519680	473170	465820	452860	429360	462780	521330	523090	517480	534390	455220	473640	600850	565220	606340	591320	390150	379190
Isoform	Pkm;tr|Q6P7S0|Q6P7S0_RAT	P11980-2	344600	355100	596660	674150	1064100	1094000	608160	643150	551900	547760	470040	505850	488240	481700	490820	560610	901200	889490	531730	500740	596730	605180	513110	476030	430500	452570	556680	542690	918790	986560
Peptidyl-prolyl	Ppia	P10111	955150	835270	2027600	1963600	545130	596920	1220800	1258800	1050800	980950	1014900	1100900	722950	695040	873770	899450	1336200	1298200	1099300	1012900	817840	854900	1110300	1046600	313720	390710	1177300	1231200	824120	784960
Uncharacterized	F1LTJ5	212730	223760	164910	137070	766650	791290	174000	175550	157930	158030	166780	167780	120220	116080	162350	169590	314560	320790	188550	181430	183290	182030	149360	133060	156880	142150	173280	171290	609010	615670
Thymosin	Tmsb4x	P62329	1490400	1532800	1184700	894870	2394600	2234000	4375400	4203300	3020200	2989900	1307200	1266000	5073000	5296900	2074400	2060800	1758700	1588700	2354200	2562300	3059800	2810800	3431900	3613100	3975300	3966900	2949400	3063600	722610	779640
Clathrin	Cltc	F1M779	206800	217960	242950	205310	277560	282570	242760	244380	287880	284150	319710	326000	243390	256330	238390	246240	338320	320340	287020	273090	268630	270230	286750	292420	207270	186710	283650	288580	367240	358070
Collagen	Col6a5	A0A0G2JTX7	676200	741980	349200	333060	113010	169780	279160	282920	231750	245010	394760	426110	335720	326710	688690	674340	207960	229010	127490	125030	380780	395050	254630	254920	17334	18863	198890	189000	465.43	132.71
Endoplasmic	Hspa5	P06761	304690	303050	275950	241780	611910	645100	442360	425890	395680	399670	298370	303510	485100	480720	265420	255180	671940	677020	546040	582350	387240	367250	473460	471450	431510	375530	486350	475180	1138700	1144000
Histone	H1-4	P15865	2247200	2263000	938190	812050	1135100	1198100	659610	642300	915990	919530	553080	537030	1567800	1596000	1591800	1731600	3055400	2930500	1685700	1670800	1039000	1097300	430720	470660	688540	1216100	1018200	1082600	685180	697850
Heat	Hspa8	P63018	528830	543450	546780	515270	634500	660430	551230	476800	566290	532710	488650	474740	564760	586490	427200	438600	713920	731210	582830	573020	505390	502040	574540	591570	547210	495500	568610	575500	477250	495540
Microfibril	Mfap4	G3V6A9	1194100	1342700	2300700	2179000	401240	408610	1079500	1120700	1323000	939090	1406400	1501600	817800	828410	1553600	1495400	1455400	1497300	1184500	1295900	1705600	1288700	1438200	1343800	307760	305350	1130400	1109200	51933	10833
3106600	3649600	2043000	3006100	1932700	2154600	4398600	4502400	2733000	2599500	1661200	1999900	4741600	4404600	2312300	2237000	2352000	2235700	2470400	2285700	3891400	3558200	4238900	3511200	3088500	2703400	3174000	3329500	389280	324490
Tissue-type	Tgm2	Q9WVJ6	650550	750900	735450	700140	329380	336720	371860	410960	457910	457950	308860	296850	493740	485210	605590	614260	784200	759810	409330	415530	595730	633800	320440	346420	254640	262020	409410	442410	82695	62532
Elongation	Eef2	P05197	309420	332600	388760	392610	585440	587280	537240	599940	526420	524690	468590	481770	580910	601180	368620	351590	519300	544390	552520	560480	480240	469550	716600	698440	302570	268080	571010	594110	697750	632480
Heterogeneous	Hnrnpa2b1	F1LNF1	1339300	1142600	1274600	1053300	613820	591460	664020	725020	744610	785760	755970	719600	670450	618910	818930	853100	847540	777580	1004900	1025600	712870	700500	818310	801600	609240	523630	660760	675810	613460	685050
Myl9	Myl9	B0BMS8	421960	447860	680540	629680	927230	1033500	1043700	1089800	998560	968360	845350	811640	970250	1060800	950780	940970	568640	471890	794420	901110	1113700	1153200	912970	783930	281310	257070	1369600	1333200	82455	55006
Collagen	Col12a1	A0A0G2KAJ7	343270	369780	395080	386890	406910	390620	371600	350210	644900	667970	926370	910850	846100	861830	576700	570100	705110	706770	367090	366800	982100	977580	386760	407360	11655	26517	400650	420610	32107	36792
Hemopexin	Hpx	P20059	658030	652780	1472100	1521700	402810	375980	681100	749730	831810	814000	484740	547840	766750	714340	828110	882790	513590	468550	556610	547730	471540	469090	988610	938200	1295200	1288100	635380	620140	333520	349300
Tropomyosin	Tpm1	Q923Z2	248780	152880	676030	668800	1219000	1212400	1526600	1670500	1438900	1391300	1465300	1365300	1491300	1769100	1296500	1234300	378100	329660	887510	742690	1355000	1101700	1002700	964770	174440	180750	1462300	1464400	122150	115510
Fructose-bisphosphate	Aldoa	P05065	399370	419010	454580	432660	550660	639830	427050	431770	421180	407520	431740	389830	440820	450480	437840	468600	835250	793160	423960	421540	422960	413210	390910	381860	412630	359130	448480	453530	862070	851190
Calreticulin	Calr	P18418	388490	338070	318330	334590	1030400	976610	749070	703220	637620	613410	322110	367790	889410	959290	431550	468520	659670	670650	870080	898870	582390	589780	847480	876940	596500	605080	554040	519210	1421300	1468500
122620	131010	145440	137300	284250	274620	1616600	1803400	256300	287480	53400	42763	158810	156440	151770	129440	468860	439880	66603	63269	264010	291160	201960	247670	974960	784980	284440	279370	16923	22409
Filamin-C	Flnc	A0A0H2UHR7	156610	162900	196760	152960	219120	238830	387780	379890	360990	370520	358360	345410	358720	363720	202260	193340	141650	129020	364820	369040	408140	410970	306470	318140	11756	17491	451230	454440	8327.1	3521.8
Protein	P4hb	P04785	370990	389050	340820	368920	1007900	1030100	409340	435930	362630	378780	407580	384430	443250	500900	381140	373230	644320	654840	599490	597560	411020	423650	544750	569140	255340	273370	447830	437090	1319300	1461000
T-kininogen	Kng1	P08932	336800	350650	921080	1055800	440380	440250	389530	429160	538610	535350	366980	368350	425280	421300	439540	551410	648590	629360	452920	463820	334780	362370	513120	492060	791220	720050	640240	574390	824480	801070
60	Hspd1	A0A482IDN3	642860	373000	328870	321160	660420	642810	426230	431290	411820	418690	467240	497990	447310	450320	469470	433900	720080	616310	473520	427880	441360	457520	420000	431560	775010	747010	431120	404540	1028900	1021700
Alpha-1-antiproteinase	Serpina1	A0A0G2JZ73	512090	600780	759440	818350	289460	291210	333430	405500	481910	498420	417650	380450	826690	894270	531270	538590	317400	338750	499240	474030	406600	428470	594890	529910	443000	429480	442210	420120	183860	181870
Endoplasmin	Hsp90b1	A0A0A0MY09	135720	170580	205180	202400	387990	409330	306290	302620	253430	251440	244800	269530	271130	305700	210680	220740	348480	361310	346660	323990	265390	279700	346750	389950	112050	123990	301160	287360	417460	469960
Fibronectin	Fn1	A0A096P6L8	186540	221340	280940	290320	427740	435430	452380	444650	290330	288330	323470	366440	302530	279580	195280	187830	150230	151820	338170	363030	362130	357480	409910	395240	69194	71188	447670	441100	213240	204430
Ceruloplasmin	Cp	G3V7K3	281470	322450	866470	936630	207480	220430	395760	393990	490760	488660	293120	299920	439040	424840	372980	307900	207850	185980	365430	344390	292100	290420	522340	507870	304890	325770	372600	371930	132490	121210
Alpha-1-macroglobulin	A1m	Q63041	282710	313400	295410	290840	209480	199250	450760	466340	289120	293020	170830	164190	466660	484730	141280	128230	333000	378600	326270	312140	226020	222110	477770	506060	259670	246140	481700	494350	356330	372060
255780	280750	295810	277270	376840	405800	1691100	2091800	457570	474120	36270	28635	334550	315730	149080	168710	516170	489670	98582	92040	465460	522240	324250	441860	269750	291890	372450	354040	11872	12823
Heterogeneous	Hnrnpk	P61980	847240	744600	765410	598150	674750	693460	742550	736700	922830	881520	612420	656180	708190	694300	669590	718600	952960	859070	760150	704790	635450	695730	774270	821460	526260	553550	720130	774260	386770	419290
Gelsolin	Gsn	Q68FP1	285970	334880	349570	332210	344840	346070	433190	450180	448030	468920	409650	484440	452780	434860	394870	409620	324960	348490	441590	428640	421000	418200	421940	447520	309570	296020	399680	409120	191900	191330
Rat	Q63030	3778600	3981600	233840	194360	2685900	2931500	3429600	3018800	4283300	4595000	1296000	1360700	3088900	2676000	3906700	4066000	3429800	3179600	3889400	2907500	4922100	4097500	3284600	2806300	1413400	1360800	3844600	3589600	198360	203130
Triosephosphate	Tpi1	P48500	515340	572700	557400	482130	814300	853760	518750	544900	528330	532860	555380	558710	547680	537070	727460	664520	980140	1030000	658230	606150	562360	535640	443040	472830	624020	683680	504900	509640	1111200	1152400
Uncharacterized	F1LTN6	588100	487460	2096100	1671500	365550	327890	796630	834370	977060	964470	638440	626930	328930	285330	565780	499180	546570	386660	690960	701770	473980	520330	812670	789310	1196500	1102500	674770	708190	1199300	878570
Alpha-actinin-4	Actn4	Q9QXQ0	116300	123730	161150	163170	215520	215040	186910	176000	201480	197490	214120	206960	218490	232410	210920	211830	168920	166400	161930	163430	190660	203760	179040	185560	175770	154050	210060	208370	149000	150310
Heterogeneous	Hnrnpa3	Q6URK4	593630	374020	418900	398360	239240	248800	291680	297620	406630	412120	298680	274870	263660	269370	295810	304530	378930	391430	347150	366310	293110	279810	356130	344270	199330	203630	313600	312600	204660	223410
C4a	C4a	Q6MG79	325350	365760	1149500	1192100	280090	295130	351960	352300	822780	867670	754870	737800	416190	420340	457130	435230	159530	127560	205500	215860	460580	503940	458040	467970	262670	242180	278060	246910	81358	71475
L-lactate	Ldha	B5DEN4	304580	355610	411310	374260	850840	902830	320950	275900	301610	283720	307840	316550	429850	468670	357520	348770	879830	1020200	397560	397860	502350	520410	284590	263660	254890	334990	418230	387690	746040	814500
Ferritin	Fth1	Q66HI5	174370	202860	76253	74422	221470	293550	79023	70997	454840	433880	29906	37743	140160	126330	123030	126810	320320	287940	446320	416380	133880	154670	82576	76359	1973400	1665400	206410	194560	235600	245750
ATP	Atp5f1a	P15999	321220	295280	414390	390960	237520	301660	247520	232020	262650	246690	280660	269030	273630	249820	198020	229680	336240	364240	308060	289780	235410	218390	308100	268610	272910	252060	278190	302020	366210	376270
Cofilin-1	Cfl1	P45592	411550	418040	598470	566440	410740	429400	739010	766230	719270	730690	411760	373960	571330	573520	490870	516430	521040	539050	1001300	926480	601660	605040	834520	774020	131250	119150	752810	746390	461140	408670
Eukaryotic	Eif5a	Q3T1J1	1372600	803670	733540	598420	1948500	1830000	1631000	1705500	1406100	1370900	1277100	1035700	1447500	1755900	1135400	1433600	1117600	969990	1780400	1936700	1538500	1224900	1504100	1471500	888080	1100300	1087200	1279300	2259300	1768100
Protein	Pdia3	A0A0H2UHM5	114190	114890	143500	136110	273400	287730	207620	202910	157740	156130	134530	132260	213410	226480	145680	153290	286140	263940	236010	253980	164680	158150	242610	256690	129360	139150	207200	203880	295820	321800
Transitional	Vcp	P46462	203620	215240	235620	279370	230370	242480	258860	263630	264410	287040	261750	258650	283030	284440	229620	234990	260900	259110	250520	254160	244950	254010	288650	278670	341390	352850	249350	246440	266600	259240
14-3-3	Ywhaz	P63102	247230	285820	297680	286040	359470	387950	327290	333300	352540	379850	385060	390150	474340	486620	466180	486340	379570	345800	322190	342510	361740	358850	395840	404470	463180	458930	330240	343810	403230	364400
Profilin-1	Pfn1	P62963	470120	532370	532330	528150	974370	998760	949830	954100	814220	853200	689500	745740	783820	831400	673790	604670	867810	853420	841740	774660	895060	861700	900050	848870	489330	570810	1030600	1068900	687560	670140
Phosphoglycerate	Pgk1	P16617	248880	256850	261950	234510	521720	505100	384710	381020	278300	285740	315430	346710	323820	318620	307670	323610	613340	556060	392970	407930	294830	302310	290490	276450	521330	593780	280430	283070	850430	874490
Tubulin	Tubb5	P69897	525430	396280	613180	467730	536110	527650	486200	484630	584390	595440	472720	548580	540360	439710	368830	363290	473180	480110	621900	594890	560300	505000	673480	640780	292890	272100	568920	566310	608120	541500
Lipoma-preferred	Lpp	Q5XI07	135550	142390	363080	373230	220910	243530	423090	415110	321630	305940	474710	466270	347880	384790	403900	423810	143630	157880	336530	323370	482520	500040	315700	319860	39692	51717	407800	409220	91.359	1301.8
EH	Ehd2	Q4V8H8	390930	444800	478890	469140	213980	229880	402820	385330	423210	437350	583020	562050	332910	337340	538210	505700	280000	249080	373390	348650	415140	428410	340030	336580	250980	300440	424440	447680	11655	6934.5
Purine	Pnp	P85973	303350	269870	329120	329770	160020	168810	379240	351210	440320	432040	399860	402920	315420	314450	384240	387130	243970	276210	265170	271970	406180	394730	318390	345860	269670	256120	368530	374550	116500	92124
Myosin	Myh10	G3V9Y1	70810	77307	127940	119740	65383	66130	143990	143790	176850	181920	192210	190310	304700	303220	115920	125730	84676	77499	179400	194040	236340	246310	183360	181060	79367	93137	179980	183730	71597	65717
