pathway	pval	padj	ES	NES	nMoreExtreme	size
HALLMARK_HYPOXIA	0.08982078046310103	0.17273227012134815	0.2429954564977352	1.180975966120658	19154	191
HALLMARK_IL2_STAT5_SIGNALING	2.5370568871580523e-6	1.588826861088232e-5	-0.4720941859279176	-2.0354249421897435	1	194
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.407725031884972e-6	1.1731041932374766e-5	-0.5689164978002152	-2.2057180105199694	0	88
HALLMARK_INFLAMMATORY_RESPONSE	1.269206263786753e-6	1.1731041932374766e-5	-0.5756002544539857	-2.4804173219024364	0	193
HALLMARK_INTERFERON_ALPHA_RESPONSE	1.3963691609078076e-6	1.1731041932374766e-5	-0.6666652155068501	-2.611690911453428	0	94
HALLMARK_INTERFERON_GAMMA_RESPONSE	1.2672520526315122e-6	1.1731041932374766e-5	-0.6504998315133307	-2.80635009326191	0	195
HALLMARK_KRAS_SIGNALING_DN	0.0023566773167876557	0.007855591055958852	-0.356912255948547	-1.519775370747836	1829	174
HALLMARK_KRAS_SIGNALING_UP	2.542122977741171e-6	1.588826861088232e-5	-0.4575202577958272	-1.9692352058219271	1	191
HALLMARK_MITOTIC_SPINDLE	0.17691435941448982	0.2457143880756803	0.22820656144920065	1.1119519847147163	37309	195
HALLMARK_MTORC1_SIGNALING	0.8683971415862701	0.8959569484427298	-0.1915229896252363	-0.8262578001691107	685259	195
HALLMARK_MYC_TARGETS_V1	0.7813328501401896	0.8681476112668773	0.18461509050117364	0.9007448075603841	163857	197
HALLMARK_MYC_TARGETS_V2	0.11831779752872318	0.19719632921453864	0.31446732048206255	1.2474713630329153	38205	57
HALLMARK_MYOGENESIS	9.235017338745054e-6	4.197735153975025e-5	0.3851463802504522	1.8637572480553917	1	185
HALLMARK_NOTCH_SIGNALING	0.1572902451007151	0.23130918397163985	-0.3918259859020214	-1.255146187303325	100848	32
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.009194130174871239	0.02553925048575344	-0.32868573044712485	-1.4163957937033507	7243	193
HALLMARK_P53_PATHWAY	1.3228657342159223e-4	4.72452047934258e-4	-0.38605153256773256	-1.6606387255652377	103	190
HALLMARK_PANCREAS_BETA_CELLS	0.7178357007678754	0.8157223872362221	0.25116699766254935	0.8394306761785619	263996	27
HALLMARK_PEROXISOME	0.017775812697682282	0.046778454467584954	-0.36585461474523506	-1.4466470687255821	12824	100
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.06373121220206332	0.12746242440412664	-0.3336937737678028	-1.3154710119168591	45861	98
HALLMARK_PROTEIN_SECRETION	0.8780378094738751	0.8959569484427298	-0.20100489289510703	-0.7807211382333464	624643	89
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.025192625579231666	0.06298156394807916	-0.43037780309771684	-1.4933749916824557	16733	47
HALLMARK_SPERMATOGENESIS	0.029802017649845573	0.0709571848805847	0.30335571958705	1.3535617026125677	8114	107
HALLMARK_TGF_BETA_SIGNALING	0.8645628943270499	0.8959569484427298	-0.2147741266356529	-0.7624616105825581	580738	53
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.263565960038463e-6	1.1731041932374766e-5	-0.5591567922966317	-2.4177302401630554	0	199
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.10047558443298278	0.1796021912987372	0.27067598914056	1.2150756593352714	26999	111
HALLMARK_UV_RESPONSE_DN	0.04634349424260271	0.1007467266143537	0.2743096760780416	1.276906462988414	11409	140
HALLMARK_UV_RESPONSE_UP	0.10102265450150012	0.1796021912987372	-0.2926525850246515	-1.227753544586028	77140	154
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.36629795821643973	0.45250484988980594	-0.31621472510585297	-1.0622675087026057	239589	40
HALLMARK_XENOBIOTIC_METABOLISM	0.1693686023187939	0.24195514616970556	-0.2700790129333079	-1.1569503445850964	132482	183
